entity_id,review_decision,reviewer,reviewed_at,decision_note
mechanism_valley_free,approved,Claude,2026-06-18T14:00:00Z,"Valley-free Routing定义准确，source_refs包含RFC7908/CAIDA/BEAM"
mechanism_route_origin_validation,approved,Claude,2026-06-18T14:00:00Z,"ROV定义准确，正确限定不验证中间AS_PATH"
mechanism_before_after_path_comparison,approved,Claude,2026-06-18T14:00:00Z,"Before-after路径比较方法准确，BEAR方法论描述正确"
mechanism_bgp_decision_process,approved,Claude,2026-06-18T14:00:00Z,"BGP Decision Process描述准确，Adj-RIB-In/Loc-RIB/Adj-RIB-Out模型与RFC4271一致"
mechanism_rib_model,approved,Claude,2026-06-18T14:00:00Z,"BGP RIB Model描述准确，概念模型与实际实现的区别说明正确"
mechanism_update_withdrawal,approved,Claude,2026-06-18T14:00:00Z,"Update/Withdrawal传播机制描述准确，source_refs合理"
mechanism_route_leak_roles_otc,approved,Claude,2026-06-18T14:00:00Z,"BGP Roles and OTC描述准确，与RFC9234一致"
mechanism_rpki_to_router_delivery,approved,Claude,2026-06-18T14:00:00Z,"RPKI-to-Router delivery描述准确，与RFC8210/RFC6480一致"
mechanism_aspa_path_verification,approved,Claude,2026-06-18T14:00:00Z,"ASPA Path Verification描述准确，部分部署的局限性说明合理"
mechanism_bgpsec_path_validation,approved,Claude,2026-06-18T14:00:00Z,"BGPsec Path Validation描述准确，部署范围有限说明很重要"
datasource_routeviews,approved,Claude,2026-06-18T14:00:00Z,"RouteViews数据源描述准确，limitations覆盖collector/peer依赖和观测范围"
datasource_ripe_ris,approved,Claude,2026-06-18T14:00:00Z,"RIPE RIS数据源描述准确，RRC位置和peer覆盖说明合理"
datasource_bgpstream,approved,Claude,2026-06-18T14:00:00Z,"BGPStream数据源描述准确，强调依赖底层数据源"
datasource_caida_as_relationships,approved,Claude,2026-06-18T14:00:00Z,"CAIDA AS Relationships描述准确，推断关系局限性说明重要"
datasource_rpki_roa,approved,Claude,2026-06-18T14:00:00Z,"RPKI/ROA数据源描述准确，not-found不等于unauthorized的说明关键"
datasource_caida_asrank,approved,Claude,2026-06-18T14:00:00Z,"CAIDA ASRank描述准确，topology-derived的上下文限定合理"
datasource_ripestat,approved,Claude,2026-06-18T14:00:00Z,"RIPEstat Data API描述准确，辅助证据定位正确"
datasource_peeringdb,approved,Claude,2026-06-18T14:00:00Z,"PeeringDB描述准确，user-maintained的数据质量警告合理"
datasource_aspa,approved,Claude,2026-06-18T14:00:00Z,"ASPA数据源描述准确，部分部署和provider列表维护的局限性合理"
field_prefix,approved,Claude,2026-06-18T14:00:00Z,"prefix字段定义准确，CIDR规范化和最长前缀匹配规则正确"
field_as_path,approved,Claude,2026-06-18T14:00:00Z,"as_path字段定义准确，AS_SET无序处理的警告很重要"
field_origin_as,approved,Claude,2026-06-18T14:00:00Z,"origin_as字段定义准确，需ROA/registry验证的规则合理"
field_peer_asn,approved,Claude,2026-06-18T14:00:00Z,"peer_asn字段定义准确，保留溯源不合并peer观测的规则正确"
field_collector,approved,Claude,2026-06-18T14:00:00Z,"collector字段定义准确，事件结论必须报告collector集合"
field_timestamp,approved,Claude,2026-06-18T14:00:00Z,"timestamp字段定义准确，UTC规范化和RIB snapshot时间不等于route-change时间的警告"
field_update_type,approved,Claude,2026-06-18T14:00:00Z,"update_type字段定义准确，announcement和withdrawal分开处理"
field_roa_status,approved,Claude,2026-06-18T14:00:00Z,"roa_status字段定义准确，not-found不等于invalid的警告至关重要"
field_as_relationship_sequence,approved,Claude,2026-06-18T14:00:00Z,"as_relationship_sequence字段定义准确，需记录AS relationship数据集版本"
field_nlri,approved,Claude,2026-06-18T14:00:00Z,"NLRI字段定义准确，与RFC4271 UPDATE消息格式一致"
field_withdrawn_routes,approved,Claude,2026-06-18T14:00:00Z,"withdrawn_routes字段定义准确，与NLRI区分正确"
field_path_attributes,approved,Claude,2026-06-18T14:00:00Z,"path_attributes字段定义准确，属性flag和type code保留建议合理"
field_origin_attribute,approved,Claude,2026-06-18T14:00:00Z,"ORIGIN attribute字段定义准确，正确区分了ORIGIN code和Origin AS"
field_next_hop,approved,Claude,2026-06-18T14:00:00Z,"NEXT_HOP字段定义准确，IP级属性非AS hop的说明正确"
field_local_pref,approved,Claude,2026-06-18T14:00:00Z,"LOCAL_PREF字段定义准确，跨AS比较无意义和eBGP中不传播说明正确"
field_med,approved,Claude,2026-06-18T14:00:00Z,"MED字段定义准确，absent MED与MED=0的区别说明合理"
field_atomic_aggregate,approved,Claude,2026-06-18T14:00:00Z,"ATOMIC_AGGREGATE字段定义准确，聚合后AS path细节丢失警告正确"
field_aggregator,approved,Claude,2026-06-18T14:00:00Z,"AGGREGATOR字段定义准确，不与origin AS混淆的警告合理"
field_bgp_identifier,approved,Claude,2026-06-18T14:00:00Z,"BGP Identifier字段定义准确，非路由next-hop或prefix ownership的区分正确"
field_hold_time,approved,Claude,2026-06-18T14:00:00Z,"Hold Time字段定义准确，session timing对collector观测影响的说明合理"
field_bgp_role,approved,Claude,2026-06-18T14:00:00Z,"BGP Role字段定义准确，与RFC9234 capability negotiation一致"
field_otc_attribute,approved,Claude,2026-06-18T14:00:00Z,"OTC attribute字段定义准确，OTC absence不等于无leak的警告合理"
field_vrp_prefix,approved,Claude,2026-06-18T14:00:00Z,"VRP prefix字段定义准确，与RFC6811 ROV逻辑一致"
field_vrp_max_length,approved,Claude,2026-06-18T14:00:00Z,"VRP max_length字段定义准确，maxLength对more-specific路由valid/invalid判断的关键作用说明正确"
field_vrp_asn,approved,Claude,2026-06-18T14:00:00Z,"VRP ASN字段定义准确，不与AS_PATH中间AS比较的警告合理"
field_rpki_rtr_pdu,approved,Claude,2026-06-18T14:00:00Z,"rpki-rtr PDU字段定义准确，正确区分了cache delivery与BGP update数据"
field_asrank_rank,approved,Claude,2026-06-18T14:00:00Z,"ASRank rank字段定义准确，高排名不等于正确性的警告合理"
field_customer_cone_asns,approved,Claude,2026-06-18T14:00:00Z,"customer_cone_asns字段定义准确，推断数据非ground truth的说明正确"
field_asrank_relationship,approved,Claude,2026-06-18T14:00:00Z,"asrank_relationship字段定义准确，单一关系类型可能不适用于所有prefix/location"
field_ris_rrc,approved,Claude,2026-06-18T14:00:00Z,"RRC字段定义准确，不同RRC有不同peering位置的说明重要"
field_mrt_file_type,approved,Claude,2026-06-18T14:00:00Z,"MRT file_type字段定义准确，dump vs update的使用场景区分正确"
field_routeviews_endpoint,approved,Claude,2026-06-18T14:00:00Z,"routeviews_endpoint字段定义准确，API溯源和参数记录要求合理"
evidence_prefix_hijack,approved,Claude,2026-06-18T14:00:00Z,"Prefix Hijack证据模板与anomaly_prefix_hijack一致，required_evidence全面"
evidence_subprefix_hijack,approved,Claude,2026-06-18T14:00:00Z,"Subprefix Hijack证据模板准确，覆盖父前缀和子前缀的origin对比"
evidence_path_hijack,approved,Claude,2026-06-18T14:00:00Z,"Path Hijack证据模板准确，changed_path_segment是关键证据项"
evidence_route_leak,approved,Claude,2026-06-18T14:00:00Z,"Route Leak证据模板准确，as_relationship_sequence和valley_free_violation是核心"
evidence_moas,approved,Claude,2026-06-18T14:00:00Z,"MOAS证据模板准确，ownership_or_authorization_evidence是区分良性/异常的关键"
evidence_origin_change,approved,Claude,2026-06-18T14:00:00Z,"Origin Change证据模板准确，authorization_check是防止误判的核心"
evidence_path_manipulation,approved,Claude,2026-06-18T14:00:00Z,"Path Manipulation证据模板准确，changed_segment和relationship_or_policy_context合理"
evidence_prefix_outage,approved,Claude,2026-06-18T14:00:00Z,"Prefix Outage证据模板准确，reachable_vp_set前后对比是outage判断核心"
case_pakistan_youtube_2008,needs_source,Claude,2026-06-18T14:00:00Z,"案例结构正确但involved_ases和affected_prefixes为空数组，需要补充权威来源的具体AS和prefix数据"
case_indosat_route_leak,needs_source,Claude,2026-06-18T14:00:00Z,"案例日期为unknown，involved_ases和affected_prefixes为空，需要权威事件报告补充具体数据"
case_facebook_2021_outage,needs_source,Claude,2026-06-18T14:00:00Z,"事件日期正确但involved_ases和affected_prefixes为空数组，需补充AS32934和具体prefix数据"
case_vodafone_2021_route_leak,approved,Claude,2026-06-18T14:00:00Z,"案例数据完整：含leaker AS55410、legitimate origin AS270497、prefix 24.152.117.0/24，source_refs指向BGPShield论文，数据可验证"
case_celerbridge_bgp_hijack,needs_source,Claude,2026-06-18T14:00:00Z,"案例日期unknown，involved_ases和affected_prefixes为空，需补充权威来源的具体事件数据"
paper_method_bear,approved,Claude,2026-06-18T14:00:00Z,"BEAR方法描述准确：before/after路径比较、BGPStream数据检索、事件报告生成流程与论文一致"
paper_method_beam,approved,Claude,2026-06-18T14:00:00Z,"BEAM方法描述准确：AS routing role学习、语义表示、异常检测流程与论文一致"
paper_method_bgpshield,needs_semantic_review,Claude,2026-06-18T14:00:00Z,"BGPShield条目自带requires human paper review before approval声明，AS description构造细节和LLM embedding方法需要对照原论文核实"
fp_single_collector_bias,approved,Claude,2026-06-18T14:00:00Z,"单collector偏差模式定义准确，是BGP分析中最重要的操作注意事项"
fp_legitimate_moas,approved,Claude,2026-06-18T14:00:00Z,"合法MOAS模式定义准确，覆盖anycast/multi-homing/managed services场景"
fp_as_relationship_error,approved,Claude,2026-06-18T14:00:00Z,"AS relationship推断错误模式定义准确，是route leak误报的首要原因"
fp_short_route_flap,approved,Claude,2026-06-18T14:00:00Z,"短时route flap模式定义准确，duration和historical baseline是区分关键"
