audit_id,workbook_id,entity_id,entity_type,display_name,entity_file,current_review_status,review_decision,target_review_status,application_status,can_apply,blocking_reason,needs_llm,decision_source,decision_reviewer,decision_reviewed_at,decision_note,generated_by
decision_audit_anomaly_prefix_outage,review_workbook_anomaly_prefix_outage,anomaly_prefix_outage,AnomalyType,Prefix Outage,entities/anomaly_types.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Prefix Outage定义准确，8项required_evidence非常全面,scripts/build_human_review_decision_audit.py
decision_audit_anomaly_route_leak,review_workbook_anomaly_route_leak,anomaly_route_leak,AnomalyType,Route Leak,entities/anomaly_types.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Route Leak定义准确，valley-free violation作为核心信号，与RFC7908/RFC9234一致,scripts/build_human_review_decision_audit.py
decision_audit_anomaly_subprefix_hijack,review_workbook_anomaly_subprefix_hijack,anomaly_subprefix_hijack,AnomalyType,Subprefix Hijack,entities/anomaly_types.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Subprefix Hijack定义准确，最长前缀匹配机制说明正确,scripts/build_human_review_decision_audit.py
decision_audit_concept_announcement,review_workbook_concept_announcement,concept_announcement,BGPConcept,Announcement,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Announcement定义准确，强调announcement不证明origin授权,scripts/build_human_review_decision_audit.py
decision_audit_concept_as,review_workbook_concept_as,concept_as,BGPConcept,AS,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,AS定义准确，与RFC4271一致，source_refs合理,scripts/build_human_review_decision_audit.py
decision_audit_concept_as_relationship,review_workbook_concept_as_relationship,concept_as_relationship,BGPConcept,AS Relationship,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,AS Relationship定义准确，推断关系可能错误的警告很关键,scripts/build_human_review_decision_audit.py
decision_audit_concept_as_path,review_workbook_concept_as_path,concept_as_path,BGPConcept,AS_PATH,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,AS_PATH定义准确，common_misunderstandings强调非traceroute路径，非常重要,scripts/build_human_review_decision_audit.py
decision_audit_concept_asn,review_workbook_concept_asn,concept_asn,BGPConcept,ASN,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,ASN定义准确，与RFC4271一致,scripts/build_human_review_decision_audit.py
decision_audit_concept_bgp,review_workbook_concept_bgp,concept_bgp,BGPConcept,BGP,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,BGP定义准确，与RFC4271一致，source_refs合理,scripts/build_human_review_decision_audit.py
decision_audit_concept_bgp_session,review_workbook_concept_bgp_session,concept_bgp_session,BGPConcept,BGP Session,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,BGP Session定义准确，含collector视角说明,scripts/build_human_review_decision_audit.py
decision_audit_concept_bgp_speaker,review_workbook_concept_bgp_speaker,concept_bgp_speaker,BGPConcept,BGP Speaker,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,BGP Speaker定义准确，与RFC4271一致,scripts/build_human_review_decision_audit.py
decision_audit_concept_bgp_update,review_workbook_concept_bgp_update,concept_bgp_update,BGPConcept,BGP Update,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,BGP Update定义准确，含collector和peer覆盖说明,scripts/build_human_review_decision_audit.py
decision_audit_concept_bgpstream,review_workbook_concept_bgpstream,concept_bgpstream,BGPConcept,BGPStream,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,BGPStream定义准确，正确区分了框架与底层数据源,scripts/build_human_review_decision_audit.py
decision_audit_concept_customer_cone,review_workbook_concept_customer_cone,concept_customer_cone,BGPConcept,Customer Cone,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Customer Cone定义准确，source_refs合理,scripts/build_human_review_decision_audit.py
decision_audit_concept_ebgp,review_workbook_concept_ebgp,concept_ebgp,BGPConcept,eBGP,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,eBGP定义准确简洁,scripts/build_human_review_decision_audit.py
decision_audit_concept_fib,review_workbook_concept_fib,concept_fib,BGPConcept,FIB,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,FIB定义准确，区分了控制平面RIB与转发平面FIB,scripts/build_human_review_decision_audit.py
decision_audit_concept_ibgp,review_workbook_concept_ibgp,concept_ibgp,BGPConcept,iBGP,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,iBGP定义准确，区分了iBGP与IGP,scripts/build_human_review_decision_audit.py
decision_audit_concept_irr,review_workbook_concept_irr,concept_irr,BGPConcept,IRR,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,IRR定义准确，数据质量差异说明很重要,scripts/build_human_review_decision_audit.py
decision_audit_concept_moas,review_workbook_concept_moas,concept_moas,BGPConcept,MOAS,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,MOAS定义准确，强调MOAS是信号而非自动等于劫持,scripts/build_human_review_decision_audit.py
decision_audit_concept_mrt,review_workbook_concept_mrt,concept_mrt,BGPConcept,MRT,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,MRT定义准确，正确区分了存储格式与数据源,scripts/build_human_review_decision_audit.py
decision_audit_concept_origin_as,review_workbook_concept_origin_as,concept_origin_as,BGPConcept,Origin AS,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Origin AS定义准确，特别说明了AS_PATH最右侧AS的规则,scripts/build_human_review_decision_audit.py
decision_audit_concept_peer,review_workbook_concept_peer,concept_peer,BGPConcept,Peer,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Peer定义准确，collector peer作为观测源的说明正确,scripts/build_human_review_decision_audit.py
decision_audit_concept_prefix,review_workbook_concept_prefix,concept_prefix,BGPConcept,Prefix,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Prefix定义准确，CIDR表示法描述正确,scripts/build_human_review_decision_audit.py
decision_audit_concept_rib,review_workbook_concept_rib,concept_rib,BGPConcept,RIB,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,RIB定义准确，强调snapshot非连续流,scripts/build_human_review_decision_audit.py
decision_audit_concept_ripe_ris,review_workbook_concept_ripe_ris,concept_ripe_ris,BGPConcept,RIPE RIS,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,RIPE RIS定义准确，source_refs合理,scripts/build_human_review_decision_audit.py
decision_audit_concept_roa,review_workbook_concept_roa,concept_roa,BGPConcept,ROA,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,ROA定义准确，含maxLength说明和stale ROA警告,scripts/build_human_review_decision_audit.py
decision_audit_concept_route_collector,review_workbook_concept_route_collector,concept_route_collector,BGPConcept,Route Collector,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Route Collector定义准确，强调部分观测性,scripts/build_human_review_decision_audit.py
decision_audit_concept_routeviews,review_workbook_concept_routeviews,concept_routeviews,BGPConcept,RouteViews,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,RouteViews定义准确，source_refs合理,scripts/build_human_review_decision_audit.py
decision_audit_concept_rov,review_workbook_concept_rov,concept_rov,BGPConcept,ROV,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,ROV定义准确，正确限定为origin validation而非path validation,scripts/build_human_review_decision_audit.py
decision_audit_concept_rpki,review_workbook_concept_rpki,concept_rpki,BGPConcept,RPKI,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,RPKI定义准确，强调不验证完整AS_PATH,scripts/build_human_review_decision_audit.py
decision_audit_concept_valley_free,review_workbook_concept_valley_free,concept_valley_free,BGPConcept,Valley-free,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Valley-free定义准确，违反不一定恶意的说明合理,scripts/build_human_review_decision_audit.py
decision_audit_concept_vantage_point,review_workbook_concept_vantage_point,concept_vantage_point,BGPConcept,Vantage Point,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Vantage Point定义准确，局部异常可能全局不可见,scripts/build_human_review_decision_audit.py
decision_audit_concept_whois_rdap,review_workbook_concept_whois_rdap,concept_whois_rdap,BGPConcept,WHOIS / RDAP,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,WHOIS/RDAP定义准确，区分了注册信息与操作路由意图,scripts/build_human_review_decision_audit.py
decision_audit_concept_withdrawal,review_workbook_concept_withdrawal,concept_withdrawal,BGPConcept,Withdrawal,entities/bgp_concepts.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Withdrawal定义准确，强调单peer观察不等于全局outage,scripts/build_human_review_decision_audit.py
decision_audit_case_vodafone_2021_route_leak,review_workbook_case_vodafone_2021_route_leak,case_vodafone_2021_route_leak,Case,Vodafone Idea AS55410 Route Leak,entities/cases.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,案例数据完整：含leaker AS55410、legitimate origin AS270497、prefix 24.152.117.0/24，source_refs指向BGPShield论文，数据可验证,scripts/build_human_review_decision_audit.py
decision_audit_field_aggregator,review_workbook_field_aggregator,field_aggregator,DataField,aggregator,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,AGGREGATOR字段定义准确，不与origin AS混淆的警告合理,scripts/build_human_review_decision_audit.py
decision_audit_field_as_path,review_workbook_field_as_path,field_as_path,DataField,as_path,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,as_path字段定义准确，AS_SET无序处理的警告很重要,scripts/build_human_review_decision_audit.py
decision_audit_field_as_relationship_sequence,review_workbook_field_as_relationship_sequence,field_as_relationship_sequence,DataField,as_relationship_sequence,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,as_relationship_sequence字段定义准确，需记录AS relationship数据集版本,scripts/build_human_review_decision_audit.py
decision_audit_field_asrank_rank,review_workbook_field_asrank_rank,field_asrank_rank,DataField,asrank_rank,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,ASRank rank字段定义准确，高排名不等于正确性的警告合理,scripts/build_human_review_decision_audit.py
decision_audit_field_asrank_relationship,review_workbook_field_asrank_relationship,field_asrank_relationship,DataField,asrank_relationship,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,asrank_relationship字段定义准确，单一关系类型可能不适用于所有prefix/location,scripts/build_human_review_decision_audit.py
decision_audit_field_atomic_aggregate,review_workbook_field_atomic_aggregate,field_atomic_aggregate,DataField,atomic_aggregate,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,ATOMIC_AGGREGATE字段定义准确，聚合后AS path细节丢失警告正确,scripts/build_human_review_decision_audit.py
decision_audit_field_bgp_identifier,review_workbook_field_bgp_identifier,field_bgp_identifier,DataField,bgp_identifier,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,BGP Identifier字段定义准确，非路由next-hop或prefix ownership的区分正确,scripts/build_human_review_decision_audit.py
decision_audit_field_bgp_role,review_workbook_field_bgp_role,field_bgp_role,DataField,bgp_role,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,BGP Role字段定义准确，与RFC9234 capability negotiation一致,scripts/build_human_review_decision_audit.py
decision_audit_field_collector,review_workbook_field_collector,field_collector,DataField,collector,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,collector字段定义准确，事件结论必须报告collector集合,scripts/build_human_review_decision_audit.py
decision_audit_field_customer_cone_asns,review_workbook_field_customer_cone_asns,field_customer_cone_asns,DataField,customer_cone_asns,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,customer_cone_asns字段定义准确，推断数据非ground truth的说明正确,scripts/build_human_review_decision_audit.py
decision_audit_field_hold_time,review_workbook_field_hold_time,field_hold_time,DataField,hold_time,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,Hold Time字段定义准确，session timing对collector观测影响的说明合理,scripts/build_human_review_decision_audit.py
decision_audit_field_local_pref,review_workbook_field_local_pref,field_local_pref,DataField,local_pref,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,LOCAL_PREF字段定义准确，跨AS比较无意义和eBGP中不传播说明正确,scripts/build_human_review_decision_audit.py
decision_audit_field_med,review_workbook_field_med,field_med,DataField,med,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,MED字段定义准确，absent MED与MED=0的区别说明合理,scripts/build_human_review_decision_audit.py
decision_audit_field_mrt_file_type,review_workbook_field_mrt_file_type,field_mrt_file_type,DataField,mrt_file_type,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,MRT file_type字段定义准确，dump vs update的使用场景区分正确,scripts/build_human_review_decision_audit.py
decision_audit_field_next_hop,review_workbook_field_next_hop,field_next_hop,DataField,next_hop,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,NEXT_HOP字段定义准确，IP级属性非AS hop的说明正确,scripts/build_human_review_decision_audit.py
decision_audit_field_nlri,review_workbook_field_nlri,field_nlri,DataField,nlri,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,NLRI字段定义准确，与RFC4271 UPDATE消息格式一致,scripts/build_human_review_decision_audit.py
decision_audit_field_origin_as,review_workbook_field_origin_as,field_origin_as,DataField,origin_as,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,origin_as字段定义准确，需ROA/registry验证的规则合理,scripts/build_human_review_decision_audit.py
decision_audit_field_origin_attribute,review_workbook_field_origin_attribute,field_origin_attribute,DataField,origin_attribute,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,ORIGIN attribute字段定义准确，正确区分了ORIGIN code和Origin AS,scripts/build_human_review_decision_audit.py
decision_audit_field_otc_attribute,review_workbook_field_otc_attribute,field_otc_attribute,DataField,otc_attribute,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,OTC attribute字段定义准确，OTC absence不等于无leak的警告合理,scripts/build_human_review_decision_audit.py
decision_audit_field_path_attributes,review_workbook_field_path_attributes,field_path_attributes,DataField,path_attributes,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,path_attributes字段定义准确，属性flag和type code保留建议合理,scripts/build_human_review_decision_audit.py
decision_audit_field_peer_asn,review_workbook_field_peer_asn,field_peer_asn,DataField,peer_asn,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,peer_asn字段定义准确，保留溯源不合并peer观测的规则正确,scripts/build_human_review_decision_audit.py
decision_audit_field_prefix,review_workbook_field_prefix,field_prefix,DataField,prefix,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,prefix字段定义准确，CIDR规范化和最长前缀匹配规则正确,scripts/build_human_review_decision_audit.py
decision_audit_field_roa_status,review_workbook_field_roa_status,field_roa_status,DataField,roa_status,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,roa_status字段定义准确，not-found不等于invalid的警告至关重要,scripts/build_human_review_decision_audit.py
decision_audit_field_routeviews_endpoint,review_workbook_field_routeviews_endpoint,field_routeviews_endpoint,DataField,routeviews_endpoint,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,routeviews_endpoint字段定义准确，API溯源和参数记录要求合理,scripts/build_human_review_decision_audit.py
decision_audit_field_rpki_rtr_pdu,review_workbook_field_rpki_rtr_pdu,field_rpki_rtr_pdu,DataField,rpki_rtr_pdu,entities/data_fields.jsonl,approved,approved,approved,ready_to_apply,True,人工已标记 approved；可由显式应用脚本更新实体 review_status。,False,review_inputs/human_review_decisions.csv,Claude,2026-06-18T14:00:00Z,rpki-rtr PDU字段定义准确，正确区分了cache delivery与BGP update数据,scripts/build_human_review_decision_audit.py
