source_matrix_id,source_id,source_title,source_type,source_path,trust_level,inventory_review_status,processing_status,raw_status,parsed_status,cleaned_status,source_chunk_count,evidence_record_count,entity_count,field_check_count,session_ids,entity_types,sample_entity_ids,cleaned_paths,parsed_paths,chunk_sample_ids,decision_input_path,generated_by
source_matrix_rfc9234,rfc9234,Route Leak Prevention and Detection Using Roles in UPDATE and OPEN Messages,standard,raw/standards/rfc9234.txt,high,approved,complete_deterministic,archived,present,present,19,5,5,37,review_session_001|review_session_002|review_session_003|review_session_005|review_session_010,AnomalyType|DataField|EvidenceTemplate|RoutingMechanism,anomaly_route_leak|evidence_route_leak|field_bgp_role|field_otc_attribute|mechanism_route_leak_roles_otc,cleaned/standards/rfc9234.md,parsed/standards/rfc9234.json,rfc9234_s002_1_001|rfc9234_s005_3_1_001|rfc9234_s005_3_1_002|rfc9234_s006_4_001|rfc9234_s007_4_1_001|rfc9234_s008_4_2_001|rfc9234_s008_4_2_002|rfc9234_s009_5_001|rfc9234_s014_2_001|rfc9234_s015_4_001|rfc9234_s016_6_001|rfc9234_s018_8_001,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_caida_asrank_api,caida_asrank_api,CAIDA ASRank API Documentation,data_doc,raw/data_docs/caida_asrank_api.html,high,pending,complete_deterministic,archived,present,present,7,4,4,33,review_session_001|review_session_002,DataField|DataSource,datasource_caida_asrank|field_asrank_rank|field_asrank_relationship|field_customer_cone_asns,cleaned/data_docs/caida_asrank_api.md,parsed/data_docs/caida_asrank_api.json,caida_asrank_api_s001_full_001|caida_asrank_api_s001_full_002|caida_asrank_api_s001_full_003|caida_asrank_api_s001_full_004|caida_asrank_api_s001_full_005|caida_asrank_api_s001_full_006|caida_asrank_api_s001_full_007,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_ripe_ris_raw_data,ripe_ris_raw_data,RIPE RIS Raw Data MRT Documentation,data_doc,raw/data_docs/ripe_ris_raw_data.html,high,pending,complete_deterministic,archived,present,present,2,4,4,30,review_session_001|review_session_002|review_session_003,DataField|RoutingMechanism,field_mrt_file_type|field_ris_rrc|mechanism_rib_model|mechanism_update_withdrawal,cleaned/data_docs/ripe_ris_raw_data.md,parsed/data_docs/ripe_ris_raw_data.json,ripe_ris_raw_data_s001_full_001|ripe_ris_raw_data_s001_full_002,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_beam_2024,beam_2024,Learning with Semantics: Towards a Semantics-Aware Routing Anomaly Detection System,paper,raw/papers/beam_2024.pdf,medium,pending,complete_deterministic,archived,present,present,62,4,4,29,review_session_005|review_session_008|review_session_010|review_session_011,AnomalyType|EvidenceTemplate|PaperMethod|RoutingMechanism,anomaly_route_leak|evidence_route_leak|mechanism_valley_free|paper_method_beam,cleaned/papers/beam_2024.md,parsed/papers/beam_2024.json,beam_2024_s001_page_1_001|beam_2024_s002_page_2_001|beam_2024_s002_page_2_003|beam_2024_s003_page_3_001|beam_2024_s003_page_3_002|beam_2024_s003_page_3_003|beam_2024_s004_page_4_001|beam_2024_s004_page_4_002|beam_2024_s009_page_9_001|beam_2024_s009_page_9_002|beam_2024_s009_page_9_003|beam_2024_s010_page_10_003|beam_2024_s011_page_11_003|beam_2024_s011_page_11_004|beam_2024_s013_page_13_001|beam_2024_s013_page_13_004|beam_2024_s015_page_15_001|beam_2024_s015_page_15_003,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_rfc6480,rfc6480,An Infrastructure to Support Secure Internet Routing,standard,raw/standards/rfc6480.txt,high,pending,complete_deterministic,archived,present,present,43,3,3,23,review_session_001|review_session_002|review_session_003,DataSource|RoutingMechanism,datasource_aspa|mechanism_bgpsec_path_validation|mechanism_rpki_to_router_delivery,cleaned/standards/rfc6480.md,parsed/standards/rfc6480.json,rfc6480_s002_1_001|rfc6480_s002_1_002|rfc6480_s002_1_003|rfc6480_s003_1_1_001|rfc6480_s004_2_001|rfc6480_s005_2_1_002|rfc6480_s007_2_3_001|rfc6480_s008_2_4_001|rfc6480_s010_3_1_001|rfc6480_s012_4_001|rfc6480_s015_4_3_002,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_arin_aspa_doc,arin_aspa_doc,ARIN ASPA Documentation,data_doc,raw/data_docs/arin_aspa_doc.html,high,pending,complete_deterministic,archived,present,present,5,2,2,16,review_session_001,DataSource|RoutingMechanism,datasource_aspa|mechanism_aspa_path_verification,cleaned/data_docs/arin_aspa_doc.md,parsed/data_docs/arin_aspa_doc.json,arin_aspa_doc_s001_full_001|arin_aspa_doc_s001_full_002|arin_aspa_doc_s001_full_003|arin_aspa_doc_s001_full_004|arin_aspa_doc_s001_full_005,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_ripe_aspa_doc,ripe_aspa_doc,RIPE ASPA Documentation,data_doc,raw/data_docs/ripe_aspa_doc.html,high,pending,complete_deterministic,archived,present,present,11,2,2,16,review_session_001,DataSource|RoutingMechanism,datasource_aspa|mechanism_aspa_path_verification,cleaned/data_docs/ripe_aspa_doc.md,parsed/data_docs/ripe_aspa_doc.json,ripe_aspa_doc_s001_full_001|ripe_aspa_doc_s001_full_006|ripe_aspa_doc_s001_full_007|ripe_aspa_doc_s001_full_008|ripe_aspa_doc_s001_full_009|ripe_aspa_doc_s001_full_010,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_rfc8210,rfc8210,"The Resource Public Key Infrastructure (RPKI) to Router Protocol, Version 1",standard,raw/standards/rfc8210.txt,high,pending,complete_deterministic,archived,present,present,54,2,2,15,review_session_003,DataField|RoutingMechanism,field_rpki_rtr_pdu|mechanism_rpki_to_router_delivery,cleaned/standards/rfc8210.md,parsed/standards/rfc8210.json,rfc8210_s002_1_001|rfc8210_s006_3_001|rfc8210_s007_4_001|rfc8210_s013_5_5_001|rfc8210_s014_5_6_001|rfc8210_s018_5_10_001|rfc8210_s019_5_11_001|rfc8210_s035_11_001|rfc8210_s038_14_001|rfc8210_s041_15_2_001,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_routeviews_archive_index,routeviews_archive_index,RouteViews Archive Index,data_doc,raw/data_docs/routeviews_archive_index.html,high,pending,complete_deterministic,archived,present,present,5,2,2,15,review_session_001|review_session_002,DataField|RoutingMechanism,field_mrt_file_type|mechanism_rib_model,cleaned/data_docs/routeviews_archive_index.md,parsed/data_docs/routeviews_archive_index.json,routeviews_archive_index_s001_full_001|routeviews_archive_index_s001_full_002|routeviews_archive_index_s001_full_003|routeviews_archive_index_s001_full_004|routeviews_archive_index_s001_full_005,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_peeringdb_api_docs,peeringdb_api_docs,PeeringDB API Documentation,data_doc,raw/data_docs/peeringdb_api_docs.yaml,high,pending,complete_deterministic,archived,present,present,772,1,1,9,review_session_003,DataSource,datasource_peeringdb,cleaned/data_docs/peeringdb_api_docs.md,parsed/data_docs/peeringdb_api_docs.json,peeringdb_api_docs_s002_paths_004|peeringdb_api_docs_s002_paths_011|peeringdb_api_docs_s002_paths_012|peeringdb_api_docs_s002_paths_018|peeringdb_api_docs_s002_paths_033,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_ripestat_api_docs,ripestat_api_docs,RIPEstat Data API Documentation,data_doc,raw/data_docs/ripestat_api_docs.html,high,pending,complete_deterministic,archived,present,present,6,1,1,9,review_session_003,DataSource,datasource_ripestat,cleaned/data_docs/ripestat_api_docs.md,parsed/data_docs/ripestat_api_docs.json,ripestat_api_docs_s001_full_001|ripestat_api_docs_s001_full_002|ripestat_api_docs_s001_full_003|ripestat_api_docs_s001_full_004|ripestat_api_docs_s001_full_006,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_facebook_outage_cloudflare_2021,facebook_outage_cloudflare_2021,Understanding How Facebook Disappeared from the Internet,case_report,raw/cases/facebook_outage_cloudflare_2021.html,medium,pending,complete_deterministic,archived,present,present,8,1,1,8,review_session_007,Case,case_facebook_2021_outage,cleaned/cases/facebook_outage_cloudflare_2021.md,parsed/cases/facebook_outage_cloudflare_2021.json,facebook_outage_cloudflare_2021_s001_full_001|facebook_outage_cloudflare_2021_s001_full_004|facebook_outage_cloudflare_2021_s001_full_006|facebook_outage_cloudflare_2021_s001_full_007|facebook_outage_cloudflare_2021_s001_full_008,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_facebook_outage_meta_2021,facebook_outage_meta_2021,More Details About the October 4 Outage,case_report,raw/cases/facebook_outage_meta_2021.html,medium,pending,complete_deterministic,archived,present,present,4,1,1,8,review_session_007,Case,case_facebook_2021_outage,cleaned/cases/facebook_outage_meta_2021.md,parsed/cases/facebook_outage_meta_2021.json,facebook_outage_meta_2021_s001_full_001|facebook_outage_meta_2021_s001_full_002|facebook_outage_meta_2021_s001_full_003|facebook_outage_meta_2021_s001_full_004,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_indosat_route_leak_2014,indosat_route_leak_2014,Indosat fat-thumbs route announcements again,case_report,raw/cases/indosat_route_leak_2014.html,low,pending,complete_deterministic,archived,present,present,6,1,1,8,review_session_007,Case,case_indosat_route_leak,cleaned/cases/indosat_route_leak_2014.md,parsed/cases/indosat_route_leak_2014.json,indosat_route_leak_2014_s001_full_001|indosat_route_leak_2014_s001_full_002|indosat_route_leak_2014_s001_full_003|indosat_route_leak_2014_s001_full_004|indosat_route_leak_2014_s001_full_005,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_ripe_ris_route_collectors,ripe_ris_route_collectors,RIPE RIS Route Collectors Documentation,data_doc,raw/data_docs/ripe_ris_route_collectors.html,high,pending,complete_deterministic,archived,present,present,3,1,1,8,review_session_003,DataField,field_ris_rrc,cleaned/data_docs/ripe_ris_route_collectors.md,parsed/data_docs/ripe_ris_route_collectors.json,ripe_ris_route_collectors_s001_full_001|ripe_ris_route_collectors_s001_full_002|ripe_ris_route_collectors_s001_full_003,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_youtube_hijack_google_2008,youtube_hijack_google_2008,YouTube Hijacking Analysis of BGP Routing Dynamics,case_report,raw/cases/youtube_hijack_google_2008.html,medium,pending,complete_deterministic,archived,present,present,3,1,1,8,review_session_008,Case,case_pakistan_youtube_2008,cleaned/cases/youtube_hijack_google_2008.md,parsed/cases/youtube_hijack_google_2008.json,youtube_hijack_google_2008_s001_full_001|youtube_hijack_google_2008_s001_full_002|youtube_hijack_google_2008_s001_full_003,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_rfc2622,rfc2622,Routing Policy Specification Language,standard,raw/standards/rfc2622.txt,high,pending,complete_deterministic,archived,present,present,82,1,1,7,review_session_007,BGPConcept,concept_irr,cleaned/standards/rfc2622.md,parsed/standards/rfc2622.json,rfc2622_s014_1_001|rfc2622_s014_1_002|rfc2622_s015_2_004|rfc2622_s038_12_001|rfc2622_s038_12_002,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_rfc3912,rfc3912,WHOIS Protocol Specification,standard,raw/standards/rfc3912.txt,high,pending,complete_deterministic,archived,present,present,7,1,1,7,review_session_012,BGPConcept,concept_whois_rdap,cleaned/standards/rfc3912.md,parsed/standards/rfc3912.json,rfc3912_s001_1_001|rfc3912_s002_2_001|rfc3912_s003_3_001|rfc3912_s004_4_001|rfc3912_s005_5_001,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_rfc8205,rfc8205,BGPsec Protocol Specification,standard,raw/standards/rfc8205.txt,high,pending,complete_deterministic,archived,present,present,80,1,1,7,review_session_002,RoutingMechanism,mechanism_bgpsec_path_validation,cleaned/standards/rfc8205.md,parsed/standards/rfc8205.json,rfc8205_s002_1_001|rfc8205_s019_5_1_001|rfc8205_s019_5_1_002|rfc8205_s045_8_1_002|rfc8205_s048_8_4_003,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_rfc9082,rfc9082,Registration Data Access Protocol Query Format,standard,raw/standards/rfc9082.txt,high,pending,complete_deterministic,archived,present,present,32,1,1,7,review_session_012,BGPConcept,concept_whois_rdap,cleaned/standards/rfc9082.md,parsed/standards/rfc9082.json,rfc9082_s002_1_001|rfc9082_s002_1_002|rfc9082_s004_2_1_001|rfc9082_s019_4_2_001|rfc9082_s027_9_2_001,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
source_matrix_rfc9083,rfc9083,JSON Responses for the Registration Data Access Protocol,standard,raw/standards/rfc9083.txt,high,pending,complete_deterministic,archived,present,present,78,1,1,7,review_session_012,BGPConcept,concept_whois_rdap,cleaned/standards/rfc9083.md,parsed/standards/rfc9083.json,rfc9083_s020_5_1_004|rfc9083_s021_5_2_001|rfc9083_s022_5_3_007|rfc9083_s052_14_2_008|rfc9083_s053_7483_001,review_inputs/human_review_decisions.csv,scripts/build_human_review_source_matrix.py
